"","ID","Age","Experience","Income","ZIPCode","Family","CCAvg","Education","Mortgage","PersonalLoan","SecuritiesAccount","CDAccount","Online","CreditCard"
"1",4533,48,22,133,90073,2,3.1,2,0,1,0,0,1,0
"2",4409,64,40,181,93403,2,2.3,2,0,1,0,1,1,1
"3",955,37,12,169,91107,2,5.2,3,249,1,0,0,1,0
"6",4860,34,8,165,91107,1,7,3,541,1,0,0,0,0
"7",3272,52,27,93,90291,4,4.1,2,0,1,0,0,0,1
"9",3920,64,34,179,90024,2,4.5,3,400,1,0,0,0,0
"10",3767,59,35,108,90245,4,3.8,2,304,1,0,0,1,0
"11",4942,28,4,112,90049,2,1.6,2,0,1,0,0,1,0
"13",4302,49,24,130,92677,4,1.1,1,281,1,0,1,1,0
"15",1321,31,7,192,90250,1,0,2,0,1,0,0,1,0
"16",2971,54,30,121,95039,2,1.1,3,0,1,1,0,0,0
"17",4628,27,1,134,93106,1,1.7,2,307,1,0,0,1,0
"19",3007,62,37,169,95014,3,5,2,184,1,0,1,1,1
"20",4586,35,11,180,94010,1,3.6,3,571,1,0,1,1,1
"21",1652,62,36,158,94301,2,6.3,3,0,1,0,0,1,0
"22",4813,29,4,184,92126,4,2.2,3,612,1,0,0,1,0
"23",3404,54,29,82,94709,3,3.7,2,0,1,0,0,1,0
"24",4703,35,5,108,90630,2,2.75,3,0,1,1,0,0,0
"26",529,64,39,122,90089,4,0.2,1,378,1,0,0,1,0
"27",4164,54,28,108,94110,4,1.9,2,0,1,0,0,1,0
"28",4629,27,1,130,94801,3,2.9,2,0,1,0,0,0,0
"29",4440,33,7,104,94542,2,3.6,3,0,1,0,0,0,1
"30",729,45,20,114,94720,2,4.4,2,0,1,0,0,0,0
"31",2987,55,30,153,94305,2,2.8,2,0,1,1,1,1,0
"32",244,65,39,170,90095,3,7.9,3,99,1,0,1,1,0
"33",2603,52,26,161,93108,4,4.3,1,0,1,0,1,1,1
"34",262,42,16,111,93106,2,1.2,3,251,1,0,0,1,0
"35",4963,46,20,122,90065,3,3,3,0,1,0,1,1,1
"36",3061,64,38,168,94061,4,5.7,3,0,1,0,0,1,0
"37",4217,60,35,173,90059,3,3.1,3,0,1,0,0,1,0
"38",1274,60,35,130,95741,3,6.3,3,437,1,0,1,1,1
"40",2491,52,28,168,90404,3,6.5,3,118,1,0,0,1,0
"41",1834,34,9,178,94303,1,0.8,3,0,1,0,0,0,0
"43",4088,52,28,179,94583,4,4.2,3,0,1,0,0,0,0
"45",2062,63,38,159,93950,4,4.9,2,111,1,0,0,0,0
"47",3836,33,9,131,90065,3,2.2,3,0,1,1,0,0,0
